#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.09605  1.04437  0.00041  0.91797  0.007795  0.005335  0.000000     1.461
   2.10712  1.05543  0.00034  0.92453  0.007450  0.005206  0.000000     1.431
   2.11906  1.06738  0.00024  0.93042  0.007151  0.005094  0.000000     1.404
   2.13195  1.08027  0.00009  0.93575  0.006887  0.004997  0.000000     1.378
   2.14587  1.09418 -0.00011  0.94062  0.006652  0.004910  0.000000     1.355
   2.16088  1.10919 -0.00035  0.94509  0.006440  0.004833  0.000000     1.333
   2.17709  1.12540 -0.00065  0.94921  0.006247  0.004764  0.000000     1.311
   2.19458  1.14289 -0.00101  0.95303  0.006070  0.004701  0.000000     1.291
   2.21346  1.16176 -0.00143  0.95657  0.005908  0.004644  0.000000     1.272
   2.23384  1.18213 -0.00193  0.95987  0.005757  0.004592  0.000000     1.254
   2.25583  1.20412 -0.00250  0.96295  0.005618  0.004545  0.000000     1.236
   2.27957  1.22785 -0.00316  0.96582  0.005490  0.004501  0.000000     1.220
   2.30519  1.25345 -0.00391  0.96851  0.005370  0.004461  0.000000     1.204
   2.33284  1.28109 -0.00476  0.97102  0.005259  0.004425  0.000000     1.189
   2.36268  1.31091 -0.00573  0.97338  0.005156  0.004391  0.000000     1.174
   2.39489  1.34310 -0.00683  0.97557  0.005060  0.004359  0.000000     1.161
   2.42965  1.37784 -0.00806  0.97762  0.004972  0.004331  0.000000     1.148
   2.46716  1.41533 -0.00944  0.97954  0.004890  0.004304  0.000000     1.136
   2.50766  1.45580 -0.01099  0.98132  0.004815  0.004280  0.000000     1.125
   2.55136  1.49947 -0.01272  0.98298  0.004746  0.004257  0.000000     1.115
   2.59853  1.54659 -0.01465  0.98452  0.004682  0.004237  0.000000     1.105
   2.64944  1.59746 -0.01679  0.98595  0.004624  0.004218  0.000000     1.096
   2.70438  1.65235 -0.01917  0.98727  0.004571  0.004200  0.000000     1.088
   2.76368  1.71159 -0.02182  0.98849  0.004523  0.004184  0.000000     1.081
   2.82768  1.77553 -0.02474  0.98960  0.004479  0.004170  0.000000     1.074
   2.89676  1.84453 -0.02798  0.99063  0.004439  0.004157  0.000000     1.068
   2.97132  1.91900 -0.03155  0.99155  0.004404  0.004145  0.000000     1.063
   3.05178  1.99937 -0.03550  0.99260  0.004369  0.004131  0.000000     1.058
